"ADDR_KEY","PC","STREET_NM","HNR_FULL","LAXON_NAME"
"158759420","4433AH",'s-Gravenpoldersestraat,"10",Hoedekenskerke
"158759421","4433AG",'s-Gravenpoldersestraat,"11",Hoedekenskerke
"158759422","4433AH",'s-Gravenpoldersestraat,"12",Hoedekenskerke
"158759423","4433AG",'s-Gravenpoldersestraat,"13",Hoedekenskerke
"158759424","4433AH",'s-Gravenpoldersestraat,"14",Hoedekenskerke
"158759425","4433AG",'s-Gravenpoldersestraat,"15",Hoedekenskerke
"158759426","4433AH",'s-Gravenpoldersestraat,"16",Hoedekenskerke
"158759427","4433AG",'s-Gravenpoldersestraat,"17",Hoedekenskerke
"158759428","4433AH",'s-Gravenpoldersestraat,"18",Hoedekenskerke
"158759429","4433AG",'s-Gravenpoldersestraat,"19",Hoedekenskerke
"158759430","4433AH",'s-Gravenpoldersestraat,"2",Hoedekenskerke
"158759431","4433AH",'s-Gravenpoldersestraat,"20",Hoedekenskerke
"158759432","4433AG",'s-Gravenpoldersestraat,"21",Hoedekenskerke
"158759433","4433AH",'s-Gravenpoldersestraat,"22",Hoedekenskerke
"158759434","4433RV",'s-Gravenpoldersestraat,"23",Hoedekenskerke
"158759435","4433AH",'s-Gravenpoldersestraat,"24",Hoedekenskerke
"158759436","4433RV",'s-Gravenpoldersestraat,"25",Hoedekenskerke
"158759437","4433AH",'s-Gravenpoldersestraat,"26",Hoedekenskerke
"158759438","4433RV",'s-Gravenpoldersestraat,"27",Hoedekenskerke
"158759439","4434RA",'s-Gravenpoldersestraat,"27A",Kwadendamme
"158759440","4433AH",'s-Gravenpoldersestraat,"28",Hoedekenskerke
"158759441","4434RA",'s-Gravenpoldersestraat,"29",Kwadendamme
"158759442","4433AH",'s-Gravenpoldersestraat,"30",Hoedekenskerke
"158759443","4434RA",'s-Gravenpoldersestraat,"31",Kwadendamme
"158759444","4433AH",'s-Gravenpoldersestraat,"32",Hoedekenskerke
"158759445","4433RV",'s-Gravenpoldersestraat,"34",Hoedekenskerke
"158759446","4433RV",'s-Gravenpoldersestraat,"36",Hoedekenskerke
"158759447","4433RV",'s-Gravenpoldersestraat,"38",Hoedekenskerke
"158759448","4433AH",'s-Gravenpoldersestraat,"4",Hoedekenskerke
"158759450","4433AH",'s-Gravenpoldersestraat,"6",Hoedekenskerke
"158759451","4433AG",'s-Gravenpoldersestraat,"7",Hoedekenskerke
"158759452","4433AH",'s-Gravenpoldersestraat,"8",Hoedekenskerke
"158759453","4433AG",'s-Gravenpoldersestraat,"9",Hoedekenskerke
"158759454","4431AA",'s-Gravenstraat,"1",'s-Gravenpolder
"158759455","4431AC",'s-Gravenstraat,"10",'s-Gravenpolder
"158759456","4431AC",'s-Gravenstraat,"12",'s-Gravenpolder
"158759457","4431AC",'s-Gravenstraat,"14",'s-Gravenpolder
"158759458","4431AC",'s-Gravenstraat,"16",'s-Gravenpolder
"158759459","4431AC",'s-Gravenstraat,"16A",'s-Gravenpolder
"158759460","4431AA",'s-Gravenstraat,"17",'s-Gravenpolder
"158759461","4431AC",'s-Gravenstraat,"18",'s-Gravenpolder
"158759462","4431AA",'s-Gravenstraat,"19",'s-Gravenpolder
"158759463","4431AC",'s-Gravenstraat,"2",'s-Gravenpolder
"158759464","4431AC",'s-Gravenstraat,"20",'s-Gravenpolder
"158759465","4431AC",'s-Gravenstraat,"22",'s-Gravenpolder
"158759466","4431AA",'s-Gravenstraat,"23",'s-Gravenpolder
"158759467","4431AC",'s-Gravenstraat,"24",'s-Gravenpolder
"158759468","4431AC",'s-Gravenstraat,"24A",'s-Gravenpolder
"158759469","4431AA",'s-Gravenstraat,"25",'s-Gravenpolder
"158759470","4431AA",'s-Gravenstraat,"25A",'s-Gravenpolder
"158759471","4431AA",'s-Gravenstraat,"25B",'s-Gravenpolder
"158759472","4431AC",'s-Gravenstraat,"26",'s-Gravenpolder
"158759473","4431AA",'s-Gravenstraat,"27",'s-Gravenpolder
"158759474","4431AC",'s-Gravenstraat,"28",'s-Gravenpolder
"158759475","4431AA",'s-Gravenstraat,"29",'s-Gravenpolder
"158759476","4431AA",'s-Gravenstraat,"3",'s-Gravenpolder
"158759477","4431AC",'s-Gravenstraat,"30",'s-Gravenpolder
"158759478","4431AA",'s-Gravenstraat,"31",'s-Gravenpolder
"158759480","4431AA",'s-Gravenstraat,"33",'s-Gravenpolder
"158759481","4431AC",'s-Gravenstraat,"34",'s-Gravenpolder
"158759482","4431AA",'s-Gravenstraat,"35",'s-Gravenpolder
"158759483","4431AC",'s-Gravenstraat,"36",'s-Gravenpolder
"158759484","4431AA",'s-Gravenstraat,"37",'s-Gravenpolder
"158759485","4431AA",'s-Gravenstraat,"37A",'s-Gravenpolder
"158759486","4431AC",'s-Gravenstraat,"38",'s-Gravenpolder
"158759487","4431AA",'s-Gravenstraat,"39",'s-Gravenpolder
"158759488","4431AC",'s-Gravenstraat,"4",'s-Gravenpolder
"158759489","4431AC",'s-Gravenstraat,"40",'s-Gravenpolder
"158759490","4431AC",'s-Gravenstraat,"40A",'s-Gravenpolder
"158759491","4431AA",'s-Gravenstraat,"41",'s-Gravenpolder
"158759492","4431AC",'s-Gravenstraat,"42",'s-Gravenpolder
"158759493","4431AC",'s-Gravenstraat,"44",'s-Gravenpolder
"158759494","4431AA",'s-Gravenstraat,"47",'s-Gravenpolder
"158759495","4431AA",'s-Gravenstraat,"47A",'s-Gravenpolder
"158759496","4431AA",'s-Gravenstraat,"47B",'s-Gravenpolder
"158759497","4431AA",'s-Gravenstraat,"49",'s-Gravenpolder
"158759498","4431AC",'s-Gravenstraat,"4A",'s-Gravenpolder
"158759499","4431AA",'s-Gravenstraat,"5",'s-Gravenpolder
"158759500","4431AB",'s-Gravenstraat,"51",'s-Gravenpolder
"158759501","4431AB",'s-Gravenstraat,"53",'s-Gravenpolder
"158759502","4431AB",'s-Gravenstraat,"55",'s-Gravenpolder
"158759503","4431AB",'s-Gravenstraat,"57",'s-Gravenpolder
"158759504","4431AB",'s-Gravenstraat,"59",'s-Gravenpolder
"158759505","4431AC",'s-Gravenstraat,"6",'s-Gravenpolder
"158759507","4431AB",'s-Gravenstraat,"63",'s-Gravenpolder
"158759508","4431AB",'s-Gravenstraat,"63A",'s-Gravenpolder
